orphanet	do
Orphanet:90635	DOID:0050565
Orphanet:90635	DOID:0110574
Orphanet:90635	DOID:0110588
Orphanet:90635	DOID:0110570
Orphanet:90635	DOID:0110589
Orphanet:90635	DOID:0110553
Orphanet:90635	DOID:0110541
Orphanet:90635	DOID:0110562
Orphanet:90635	DOID:0110573
Orphanet:90635	DOID:0110585
Orphanet:90635	DOID:0110548
Orphanet:90635	DOID:0110557
Orphanet:90635	DOID:0110555
Orphanet:90635	DOID:0110554
Orphanet:90635	DOID:0110569
Orphanet:90635	DOID:0110563
Orphanet:93404	DOID:11193
Orphanet:219	DOID:0110280
Orphanet:2134	DOID:12554
Orphanet:637	DOID:8712
Orphanet:2896	DOID:0060488
Orphanet:2554	DOID:0060306
Orphanet:98863	DOID:11726
Orphanet:101077	DOID:0110211
Orphanet:2332	DOID:14780
Orphanet:1331	DOID:10283
Orphanet:323	DOID:14711
Orphanet:1620	DOID:0060417
Orphanet:169147	DOID:0060298
Orphanet:169147	DOID:0060295
Orphanet:169147	DOID:0060297
Orphanet:65279	DOID:0060184
Orphanet:401986	DOID:0060409
Orphanet:64747	DOID:0050542
Orphanet:3337	DOID:1062
Orphanet:99951	DOID:0110195
Orphanet:53689	DOID:0060296
Orphanet:520	DOID:0060318
Orphanet:289157	DOID:10609
Orphanet:217055	DOID:0110201
Orphanet:169150	DOID:0060302
Orphanet:169150	DOID:0060301
Orphanet:169150	DOID:0060303
Orphanet:169150	DOID:0060299
Orphanet:411602	DOID:0060371
Orphanet:217604	DOID:12930
Orphanet:238750	DOID:0060420
Orphanet:99953	DOID:0110196
Orphanet:50	DOID:8461
Orphanet:98955	DOID:0060450
Orphanet:101972	DOID:628
Orphanet:98855	DOID:11726
Orphanet:894	DOID:9258
Orphanet:51608	DOID:0050644
Orphanet:55595	DOID:0110304
Orphanet:88661	DOID:2187
Orphanet:1784	DOID:0060226
Orphanet:363981	DOID:0110194
Orphanet:394	DOID:9263
Orphanet:1797	DOID:0050568
Orphanet:379	DOID:3265
Orphanet:94083	DOID:14744
Orphanet:99938	DOID:0110164
Orphanet:79262	DOID:14503
Orphanet:261330	DOID:0060413
Orphanet:352670	DOID:0110206
Orphanet:171723	DOID:0050448
Orphanet:90658	DOID:0110153
Orphanet:194	DOID:12270
Orphanet:94065	DOID:0060395
Orphanet:99950	DOID:0110186
Orphanet:363543	DOID:0110286
Orphanet:98856	DOID:0110156
Orphanet:1359	DOID:0050471
Orphanet:990	DOID:0060341
Orphanet:329802	DOID:0060460
Orphanet:66631	DOID:0060337
Orphanet:110	DOID:1935
Orphanet:1452	DOID:13994
Orphanet:2609	DOID:0060536
Orphanet:206564	DOID:0110292
Orphanet:213	DOID:1064
Orphanet:140922	DOID:0110283
Orphanet:93403	DOID:11193
Orphanet:2254	DOID:0060265
Orphanet:2254	DOID:0060266
Orphanet:1480	DOID:1657
Orphanet:98994	DOID:0110267
Orphanet:847	DOID:0110030
Orphanet:369840	DOID:0110287
Orphanet:1467	DOID:0060216
Orphanet:590	DOID:3635
Orphanet:39044	DOID:6039
Orphanet:99939	DOID:0110165
Orphanet:99945	DOID:0110174
Orphanet:683	DOID:678
Orphanet:1293	DOID:0050690
Orphanet:210141	DOID:10970
Orphanet:99948	DOID:0110185
Orphanet:444069	DOID:0110595
Orphanet:261211	DOID:0060400
Orphanet:247	DOID:0050431
Orphanet:803	DOID:0060355
Orphanet:101083	DOID:0110151
Orphanet:98673	DOID:5723
Orphanet:186	DOID:12236
Orphanet:119	DOID:0110279
Orphanet:50945	DOID:0060387
Orphanet:3152	DOID:0060251
Orphanet:2526	DOID:0060349
Orphanet:324569	DOID:0060277
Orphanet:902	DOID:5688
Orphanet:90324	DOID:2962
Orphanet:1652	DOID:0050699
Orphanet:116	DOID:5572
