orphanumber	doid
Orphanet:1465	DOID:1925
Orphanet:72	DOID:1932
Orphanet:340	DOID:11266
Orphanet:888	DOID:0060239
Orphanet:840	DOID:5445
Orphanet:2598	DOID:0080099
Orphanet:99828	DOID:12205
Orphanet:93296	DOID:0080056
Orphanet:482	DOID:7365
Orphanet:3447	DOID:14731
Orphanet:319218	DOID:4325
Orphanet:2884	DOID:3263
Orphanet:281	DOID:12580
Orphanet:435	DOID:3156
Orphanet:66629	DOID:0060481
Orphanet:261349	DOID:0060415
Orphanet:3440	DOID:9258
Orphanet:2377	DOID:1930
Orphanet:261	DOID:11726
Orphanet:3071	DOID:0050469
Orphanet:1340	DOID:0060233
Orphanet:3463	DOID:10632
Orphanet:319213	DOID:0050202
Orphanet:251038	DOID:0060459
Orphanet:95429	DOID:4028
Orphanet:30	DOID:0050833
Orphanet:199	DOID:11725
Orphanet:131	DOID:11512
Orphanet:2771	DOID:0060231
Orphanet:545	DOID:0050873
Orphanet:137817	DOID:12156
Orphanet:2021	DOID:0060465
Orphanet:744	DOID:13482
Orphanet:2323	DOID:0060348
Orphanet:929	DOID:0050796
Orphanet:90290	DOID:0060218
Orphanet:75563	DOID:0060063
Orphanet:3320	DOID:14699
Orphanet:1587	DOID:0060391
Orphanet:2315	DOID:14694
Orphanet:98293	DOID:8567
Orphanet:163634	DOID:0060221
Orphanet:2897	DOID:9212
Orphanet:1231	DOID:0060549
Orphanet:538	DOID:3319
Orphanet:37	DOID:0050605
Orphanet:66631	DOID:0060337
Orphanet:606	DOID:0050759
Orphanet:485	DOID:0080045
Orphanet:2228	DOID:6678
Orphanet:587	DOID:0050465
Orphanet:29207	DOID:6196
Orphanet:93256	DOID:0050879
Orphanet:2807	DOID:2626
Orphanet:221	DOID:10223
Orphanet:369	DOID:2754
Orphanet:79394	DOID:1699
Orphanet:143	DOID:1540
Orphanet:48818	DOID:0050711
Orphanet:89936	DOID:0050445
Orphanet:101330	DOID:3132
Orphanet:2398	DOID:14116
Orphanet:2092	DOID:2120
Orphanet:461	DOID:1700
Orphanet:61	DOID:3413
Orphanet:90042	DOID:10780
Orphanet:790	DOID:768
Orphanet:69	DOID:9120
Orphanet:1775	DOID:2729
Orphanet:724	DOID:9503
Orphanet:273	DOID:11722
Orphanet:648	DOID:3490
Orphanet:1270	DOID:0050684
Orphanet:97285	DOID:10011
Orphanet:764	DOID:876
Orphanet:148	DOID:857
Orphanet:2616	DOID:0060241
Orphanet:597	DOID:3529
Orphanet:2510	DOID:0060237
Orphanet:2869	DOID:3852
Orphanet:52417	DOID:0050909
Orphanet:1305	DOID:0060464
Orphanet:1293	DOID:0050690
Orphanet:506	DOID:3652
Orphanet:354	DOID:3322
Orphanet:652	DOID:10017
Orphanet:585	DOID:0050441
Orphanet:733	DOID:0050424
Orphanet:2070	DOID:4031
Orphanet:79326	DOID:0050571
Orphanet:2911	DOID:12961
Orphanet:97279	DOID:3892
Orphanet:887	DOID:14679
Orphanet:99827	DOID:12287
Orphanet:199318	DOID:0060394
Orphanet:2768	DOID:14798
Orphanet:337	DOID:13374
Orphanet:442	DOID:0050328
Orphanet:2322	DOID:0060473
Orphanet:285	DOID:14757
Orphanet:534	DOID:1056
Orphanet:100026	DOID:0060127
Orphanet:2162	DOID:4621
Orphanet:251	DOID:12721
Orphanet:971	DOID:0060347
Orphanet:357154	DOID:5773
Orphanet:3437	DOID:12297
Orphanet:31112	DOID:3507
Orphanet:139436	DOID:11824
Orphanet:1652	DOID:0050699
Orphanet:581	DOID:12801
Orphanet:1515	DOID:0050577
Orphanet:710	DOID:14705
Orphanet:40	DOID:0080050
Orphanet:2140	DOID:3827
Orphanet:99971	DOID:5690
Orphanet:1656	DOID:8505
Orphanet:36258	DOID:12918
Orphanet:138	DOID:0050834
Orphanet:562	DOID:1858
Orphanet:1452	DOID:13994
Orphanet:284160	DOID:0060425
Orphanet:83465	DOID:8986
Orphanet:39041	DOID:0060010
Orphanet:201	DOID:6457
Orphanet:51	DOID:0050629
Orphanet:364	DOID:2749
Orphanet:319251	DOID:1328
Orphanet:526	DOID:0050477
Orphanet:52503	DOID:0050800
Orphanet:33355	DOID:0060020
Orphanet:94068	DOID:14789
Orphanet:677	DOID:6823
Orphanet:99928	DOID:3596
Orphanet:2309	DOID:0050449
Orphanet:2750	DOID:0060316
Orphanet:575	DOID:0050854
Orphanet:284804	DOID:0050633
Orphanet:1956	DOID:9240
Orphanet:782	DOID:14686
Orphanet:178029	DOID:12388
Orphanet:502	DOID:4998
Orphanet:618	DOID:6846
Orphanet:79473	DOID:4346
Orphanet:915	DOID:6683
Orphanet:892	DOID:14175
Orphanet:1467	DOID:0060216
Orphanet:869	DOID:0050602
Orphanet:2965	DOID:5394
Orphanet:137	DOID:5212
Orphanet:242	DOID:14448
Orphanet:2591	DOID:0080109
Orphanet:808	DOID:0050569
Orphanet:111	DOID:0050476
Orphanet:403	DOID:14080
Orphanet:280	DOID:0050460
Orphanet:96125	DOID:0060422
Orphanet:3204	DOID:0060354
Orphanet:3250	DOID:0050788
Orphanet:1412	DOID:0050789
Orphanet:2388	DOID:0050766
Orphanet:136	DOID:13945
Orphanet:79430	DOID:3753
Orphanet:3143	DOID:0050168
Orphanet:931	DOID:0050603
Orphanet:374	DOID:2907
Orphanet:79455	DOID:3666
Orphanet:79314	DOID:0050574
Orphanet:3152	DOID:0060251
Orphanet:2483	DOID:1761
Orphanet:178475	DOID:0050353
Orphanet:1248	DOID:14683
Orphanet:85173	DOID:0050885
Orphanet:654	DOID:2154
Orphanet:3453	DOID:0050167
Orphanet:124	DOID:1339
Orphanet:3380	DOID:1085
Orphanet:99	DOID:1441
Orphanet:55881	DOID:2776
Orphanet:84142	DOID:963
Orphanet:250989	DOID:0060411
Orphanet:50	DOID:8461
Orphanet:794	DOID:14768
