orphanet	do
Orphanet:3258	DOID:0090015
Orphanet:79145	DOID:0060256
Orphanet:289326	DOID:321
Orphanet:87884	DOID:0050563
Orphanet:250989	DOID:0060411
Orphanet:66631	DOID:0060337
Orphanet:368	DOID:2746
Orphanet:319247	DOID:14472
Orphanet:595	DOID:14717
Orphanet:22	DOID:0060175
Orphanet:67048	DOID:0110006
Orphanet:704	DOID:0060851
Orphanet:3449	DOID:0050475
Orphanet:416	DOID:2977
Orphanet:199343	DOID:0060484
Orphanet:221091	DOID:12098
Orphanet:99940	DOID:0110163
Orphanet:93299	DOID:0080054
Orphanet:320370	DOID:0110795
Orphanet:251579	DOID:3074
Orphanet:778	DOID:1206
Orphanet:68364	DOID:2860
Orphanet:79118	DOID:0060638
Orphanet:41751	DOID:0050664
Orphanet:101081	DOID:0110148
Orphanet:55	DOID:0050632
Orphanet:319251	DOID:1328
Orphanet:466	DOID:0050433
Orphanet:98879	DOID:12259
Orphanet:73	DOID:4837
Orphanet:83313	DOID:14095
Orphanet:2609	DOID:0060536
Orphanet:94093	DOID:14464
Orphanet:97349	DOID:14332
Orphanet:148	DOID:857
Orphanet:79310	DOID:0060742
Orphanet:263463	DOID:0050813
Orphanet:882	DOID:0050726
Orphanet:180242	DOID:1964
Orphanet:1496	DOID:0060600
Orphanet:228174	DOID:0110177
Orphanet:19	DOID:0050573
Orphanet:101050	DOID:0060702
Orphanet:3103	DOID:5325
Orphanet:280183	DOID:0060741
Orphanet:94122	DOID:0060694
Orphanet:955	DOID:2736
Orphanet:890	DOID:0080177
Orphanet:163634	DOID:0060221
Orphanet:1247	DOID:1395
Orphanet:54260	DOID:0060480
Orphanet:310	DOID:2548
Orphanet:261272	DOID:0060433
Orphanet:53583	DOID:0090044
Orphanet:909	DOID:4810
Orphanet:79193	DOID:0050832
Orphanet:1359	DOID:0050471
Orphanet:1652	DOID:0050699
Orphanet:143	DOID:1540
Orphanet:731	DOID:0110861
Orphanet:261222	DOID:0060398
Orphanet:158000	DOID:4424
Orphanet:100999	DOID:0110772
Orphanet:931	DOID:0050603
Orphanet:99950	DOID:0110186
Orphanet:275	DOID:0090012
Orphanet:306	DOID:0060169
