orphanumber	doid
Orphanet:791	DOID:0110419
Orphanet:791	DOID:0110396
Orphanet:791	DOID:0110390
Orphanet:791	DOID:0110383
Orphanet:791	DOID:0110416
Orphanet:791	DOID:0110366
Orphanet:791	DOID:0110376
Orphanet:791	DOID:0110382
Orphanet:791	DOID:0110418
Orphanet:791	DOID:0110369
Orphanet:791	DOID:0110401
Orphanet:791	DOID:0110422
Orphanet:791	DOID:0110352
Orphanet:791	DOID:0110380
Orphanet:791	DOID:0110413
Orphanet:791	DOID:0110403
Orphanet:791	DOID:0110375
Orphanet:791	DOID:0110362
Orphanet:791	DOID:0110359
Orphanet:791	DOID:0110398
Orphanet:791	DOID:0110391
Orphanet:791	DOID:0110388
Orphanet:791	DOID:0110393
Orphanet:791	DOID:0110385
Orphanet:791	DOID:0110400
Orphanet:791	DOID:0110358
Orphanet:791	DOID:0110389
Orphanet:791	DOID:0110360
Orphanet:791	DOID:0110374
Orphanet:791	DOID:0110402
Orphanet:791	DOID:0110395
Orphanet:791	DOID:0110381
Orphanet:791	DOID:0110355
Orphanet:791	DOID:0110405
Orphanet:791	DOID:0110367
Orphanet:791	DOID:0110378
Orphanet:791	DOID:0110379
Orphanet:791	DOID:0110370
Orphanet:791	DOID:0110404
Orphanet:791	DOID:0110384
Orphanet:791	DOID:0110377
Orphanet:791	DOID:0110410
Orphanet:791	DOID:0110387
Orphanet:791	DOID:0110386
Orphanet:791	DOID:0110406
Orphanet:791	DOID:0110417
Orphanet:791	DOID:0110363
Orphanet:791	DOID:0110371
Orphanet:791	DOID:0110372
Orphanet:791	DOID:0110368
Orphanet:791	DOID:0110364
Orphanet:791	DOID:0110357
Orphanet:791	DOID:0110411
Orphanet:791	DOID:0110361
Orphanet:791	DOID:0110394
Orphanet:791	DOID:0110407
Orphanet:791	DOID:10584
Orphanet:791	DOID:0110365
Orphanet:791	DOID:0110415
Orphanet:791	DOID:0110354
Orphanet:79095	DOID:0050674
Orphanet:474	DOID:0050592
Orphanet:199343	DOID:0060484
Orphanet:199	DOID:11725
Orphanet:217346	DOID:0060408
Orphanet:598	DOID:0110633
Orphanet:374	DOID:2907
Orphanet:250989	DOID:0060411
Orphanet:431329	DOID:0110809
Orphanet:1334	DOID:2058
Orphanet:258	DOID:0110636
Orphanet:157973	DOID:0110640
Orphanet:655	DOID:12712
Orphanet:3440	DOID:9258
Orphanet:167	DOID:2935
Orphanet:35173	DOID:0060292
Orphanet:163634	DOID:0060221
Orphanet:2238	DOID:11199
Orphanet:506	DOID:3652
Orphanet:33226	DOID:0050747
Orphanet:96169	DOID:0050880
Orphanet:2152	DOID:0060485
Orphanet:797	DOID:11335
Orphanet:99819	DOID:7998
Orphanet:475	DOID:0050777
Orphanet:1155	DOID:0110631
Orphanet:91387	DOID:14004
Orphanet:683	DOID:678
Orphanet:101330	DOID:3132
Orphanet:614	DOID:2106
Orphanet:2345	DOID:10426
Orphanet:92	DOID:676
Orphanet:1467	DOID:0060216
Orphanet:100924	DOID:3133
Orphanet:93403	DOID:11193
Orphanet:101077	DOID:0110211
Orphanet:201	DOID:6457
Orphanet:401945	DOID:13099
Orphanet:392	DOID:0060468
Orphanet:51	DOID:0050629
Orphanet:440	DOID:10892
Orphanet:217385	DOID:0060432
Orphanet:60030	DOID:0050466
Orphanet:3318	DOID:2224
Orphanet:199318	DOID:0060394
