orphanumber	doid
Orphanet:235	DOID:14796
Orphanet:805	DOID:13515
Orphanet:2070	DOID:4031
Orphanet:54595	DOID:3840
Orphanet:1727	DOID:0060436
Orphanet:47045	DOID:0090061
Orphanet:157973	DOID:0110640
Orphanet:79264	DOID:0050756
Orphanet:100	DOID:12704
Orphanet:1310	DOID:4257
Orphanet:2750	DOID:0060316
Orphanet:44890	DOID:9253
Orphanet:89937	DOID:0050948
Orphanet:1656	DOID:8505
Orphanet:31112	DOID:3507
Orphanet:178481	DOID:0050141
Orphanet:649	DOID:0060844
Orphanet:319213	DOID:0050202
Orphanet:337	DOID:13374
Orphanet:1293	DOID:0050690
Orphanet:52416	DOID:0050746
Orphanet:94068	DOID:14789
Orphanet:85328	DOID:0060811
Orphanet:758	DOID:2738
Orphanet:79314	DOID:0050574
Orphanet:553	DOID:12252
Orphanet:180	DOID:9821
Orphanet:2781	DOID:13533
Orphanet:857	DOID:0050887
Orphanet:2322	DOID:0060473
Orphanet:85287	DOID:0060812
Orphanet:1493	DOID:0060356
Orphanet:209	DOID:3144
Orphanet:90289	DOID:8472
Orphanet:178509	DOID:0060486
Orphanet:261272	DOID:0060433
Orphanet:217346	DOID:0060408
Orphanet:431329	DOID:0110809
Orphanet:792	DOID:0060763
Orphanet:3143	DOID:0050168
Orphanet:169095	DOID:0060769
Orphanet:118	DOID:3633
Orphanet:99745	DOID:13258
Orphanet:2438	DOID:0060739
Orphanet:79241	DOID:856
Orphanet:79473	DOID:4346
Orphanet:251937	DOID:2426
Orphanet:377	DOID:2512
Orphanet:634	DOID:0050474
Orphanet:633	DOID:9521
Orphanet:99827	DOID:12287
Orphanet:116	DOID:5572
Orphanet:1263	DOID:0050680
Orphanet:251992	DOID:4817
Orphanet:40	DOID:0080050
Orphanet:772	DOID:0050444
Orphanet:2467	DOID:349
Orphanet:178029	DOID:12388
Orphanet:75233	DOID:14497
Orphanet:2092	DOID:2120
Orphanet:2598	DOID:0080099
Orphanet:1956	DOID:9240
Orphanet:184	DOID:1856
Orphanet:98791	DOID:0110029
Orphanet:124	DOID:1339
Orphanet:1667	DOID:0090060
Orphanet:575	DOID:0050854
Orphanet:243	DOID:14450
Orphanet:3204	DOID:0060354
Orphanet:79326	DOID:0050571
Orphanet:2576	DOID:0050436
Orphanet:99889	DOID:0060890
Orphanet:1573	DOID:0110711
Orphanet:1620	DOID:0060417
Orphanet:587	DOID:0050465
Orphanet:65286	DOID:0060419
Orphanet:2841	DOID:0050429
Orphanet:1231	DOID:0060549
Orphanet:2745	DOID:0050780
Orphanet:177	DOID:2580
Orphanet:1159	DOID:0090004
Orphanet:85286	DOID:0060826
Orphanet:538	DOID:3319
Orphanet:3152	DOID:0060251
Orphanet:682	DOID:14451
Orphanet:99748	DOID:0050150
Orphanet:2442	DOID:0060705
Orphanet:1600	DOID:0060407
Orphanet:521	DOID:8552
Orphanet:2616	DOID:0060241
Orphanet:48377	DOID:8508
Orphanet:447	DOID:0060284
Orphanet:71	DOID:0060357
Orphanet:101077	DOID:0110211
Orphanet:84	DOID:13636
Orphanet:37748	DOID:4371
Orphanet:3440	DOID:9258
Orphanet:1766	DOID:0050997
Orphanet:1475	DOID:0090006
Orphanet:765	DOID:3649
Orphanet:368	DOID:2746
Orphanet:258	DOID:0110636
Orphanet:199244	DOID:4968
Orphanet:744	DOID:13482
Orphanet:66646	DOID:3663
Orphanet:716	DOID:9281
Orphanet:796	DOID:3323
Orphanet:661	DOID:0060731
Orphanet:296	DOID:4624
Orphanet:818	DOID:14692
Orphanet:782	DOID:14686
Orphanet:628	DOID:14687
Orphanet:36426	DOID:0050426
Orphanet:673	DOID:12365
Orphanet:640	DOID:0060843
Orphanet:3453	DOID:0050167
Orphanet:399	DOID:12858
Orphanet:289176	DOID:0050949
Orphanet:90342	DOID:0110847
Orphanet:2382	DOID:0050561
Orphanet:848	DOID:12241
Orphanet:35173	DOID:0060292
Orphanet:285	DOID:14757
Orphanet:2052	DOID:0090001
Orphanet:614	DOID:2106
Orphanet:702	DOID:3210
Orphanet:2065	DOID:0060364
Orphanet:3437	DOID:12297
Orphanet:1906	DOID:0060471
Orphanet:111	DOID:0050476
Orphanet:728	DOID:2556
