orphanet	do
Orphanet:513	DOID:9952
Orphanet:231537	DOID:3753
Orphanet:98855	DOID:11726
Orphanet:223	DOID:12387
Orphanet:217074	DOID:1793
Orphanet:1493	DOID:0060356
Orphanet:99931	DOID:12118
Orphanet:507	DOID:9146
Orphanet:408	DOID:0060363
Orphanet:99942	DOID:0110158
Orphanet:320375	DOID:0110807
Orphanet:228343	DOID:0110720
Orphanet:137	DOID:5212
Orphanet:1480	DOID:1657
Orphanet:2050	DOID:0060438
Orphanet:47	DOID:14179
Orphanet:79095	DOID:0050674
Orphanet:98967	DOID:0060456
Orphanet:422	DOID:14557
Orphanet:166409	DOID:0060281
Orphanet:288	DOID:2373
Orphanet:251056	DOID:0060424
Orphanet:90025	DOID:11193
Orphanet:95429	DOID:4028
Orphanet:98856	DOID:0110156
Orphanet:1600	DOID:0060407
Orphanet:100997	DOID:0110769
Orphanet:99000	DOID:0050661
Orphanet:2822	DOID:0110764
Orphanet:79301	DOID:0050674
Orphanet:2323	DOID:0060348
Orphanet:596	DOID:14717
Orphanet:141007	DOID:0060382
Orphanet:228337	DOID:0110725
Orphanet:320355	DOID:0110793
Orphanet:99952	DOID:0110193
Orphanet:370938	DOID:0060470
Orphanet:2573	DOID:13099
Orphanet:1786	DOID:0060384
Orphanet:79344	DOID:0060293
Orphanet:2526	DOID:0060349
Orphanet:69186	DOID:14717
Orphanet:228360	DOID:0110728
Orphanet:295195	DOID:0060242
Orphanet:97120	DOID:0050646
Orphanet:1787	DOID:0060385
Orphanet:99956	DOID:0110190
Orphanet:2185	DOID:10908
Orphanet:228174	DOID:0110177
Orphanet:66631	DOID:0060337
Orphanet:293843	DOID:0060225
Orphanet:67048	DOID:0110006
Orphanet:65283	DOID:0110649
Orphanet:186	DOID:12236
Orphanet:1606	DOID:0060410
Orphanet:94093	DOID:14464
Orphanet:280679	DOID:13099
Orphanet:1775	DOID:2729
Orphanet:191	DOID:2962
Orphanet:157	DOID:0060235
Orphanet:178355	DOID:0060247
Orphanet:101010	DOID:0110781
Orphanet:99945	DOID:0110174
Orphanet:2134	DOID:12554
Orphanet:2131	DOID:0050635
Orphanet:75496	DOID:0050802
Orphanet:94083	DOID:14744
Orphanet:99950	DOID:0110186
Orphanet:279	DOID:4448
Orphanet:138	DOID:0050834
Orphanet:64746	DOID:0050539
Orphanet:247709	DOID:10016
Orphanet:319199	DOID:0110805
Orphanet:55654	DOID:4535
Orphanet:51608	DOID:0050644
Orphanet:844	DOID:13087
Orphanet:241	DOID:0060304
Orphanet:102015	DOID:0110274
Orphanet:261211	DOID:0060400
Orphanet:466722	DOID:0110822
Orphanet:98973	DOID:0110855
Orphanet:98973	DOID:0110857
Orphanet:98973	DOID:0110856
Orphanet:98973	DOID:0060457
Orphanet:261330	DOID:0060413
Orphanet:100998	DOID:0110770
Orphanet:231160	DOID:0060228
Orphanet:1620	DOID:0060417
Orphanet:370079	DOID:0060430
Orphanet:55595	DOID:0110304
Orphanet:171863	DOID:0110794
Orphanet:282	DOID:9255
Orphanet:101007	DOID:0110778
Orphanet:98990	DOID:0110232
