disease_keggId	drug_keggId
ds:H01563	dr:D02498
ds:H01566	dr:D02094
ds:H01714	dr:D10533
ds:H01717	dr:D00751
ds:H01434	dr:D00208
ds:H00352	dr:D00285
ds:H01682	dr:D01855
ds:H01609	dr:D01564
ds:H00428	dr:D08133
ds:H01635	dr:D00565
ds:H00014	dr:D03573
ds:H01729	dr:D00616
ds:H00630	dr:D00742
ds:H01710	dr:D00287
ds:H01714	dr:D09319
ds:H01656	dr:D01125
ds:H01658	dr:D02994
ds:H00630	dr:D02114
ds:H01578	dr:D07630
ds:H01809	dr:D00356
ds:H01809	dr:D00537
ds:H00429	dr:D01203
ds:H01361	dr:D00355
ds:H01717	dr:D04318
ds:H00210	dr:D06408
ds:H01632	dr:D05127
ds:H01333	dr:D05014
ds:H01668	dr:D03305
ds:H00053	dr:D00343
ds:H00310	dr:D00211
ds:H01132	dr:D00184
ds:H01092	dr:D00368
ds:H00386	dr:D00423
ds:H01511	dr:D05029
ds:H01696	dr:D00423
ds:H00024	dr:D00965
ds:H00079	dr:D00411
ds:H01662	dr:D02567
ds:H01651	dr:D06409
ds:H01600	dr:D05575
ds:H01358	dr:D00752
ds:H01663	dr:D08450
ds:H01613	dr:D00745
ds:H01812	dr:D00107
ds:H00412	dr:D00353
ds:H00525	dr:D02176
ds:H00079	dr:D00687
ds:H00783	dr:D00293
ds:H01566	dr:D01225
ds:H01628	dr:D00471
ds:H01491	dr:D03940
ds:H01711	dr:D00166
ds:H01818	dr:D00710
ds:H01490	dr:D00746
ds:H01895	dr:D01296
ds:H00999	dr:D01065
ds:H00014	dr:D06409
ds:H01580	dr:D00018
ds:H01639	dr:D04405
ds:H01714	dr:D01929
ds:H01293	dr:D01832
ds:H00429	dr:D00218
ds:H00083	dr:D03058
ds:H00079	dr:D00689
ds:H00136	dr:D05032
ds:H01804	dr:D00252
ds:H01668	dr:D00142
ds:H01607	dr:D00780
ds:H01633	dr:D00431
ds:H01668	dr:D02994
ds:H01646	dr:D05374
ds:H01481	dr:D03651
ds:H00040	dr:D00184
ds:H01652	dr:D01272
ds:H01490	dr:D10172
ds:H00410	dr:D00085
ds:H01522	dr:D00318
ds:H00038	dr:D09996
ds:H00175	dr:D07130
ds:H01653	dr:D00789
ds:H01818	dr:D01731
