drug_keggId	gene_keggId
dr:D00492	hsa:1140
dr:D01268	hsa:2554
dr:D01849	hsa:779
dr:D00499	hsa:2563
dr:D02357	hsa:3350
dr:D01492	hsa:154
dr:D05028	hsa:2562
dr:D00537	hsa:2558
dr:D06671	hsa:151
dr:D06414	hsa:3815
dr:D08031	hsa:150
dr:D01902	hsa:3269
dr:D07218	hsa:170572
dr:D07796	hsa:2908
dr:D10497	hsa:6751
dr:D02200	hsa:1133
dr:D02272	hsa:6326
dr:D00124	hsa:150
dr:D01856	hsa:3757
dr:D08358	hsa:148
dr:D05803	hsa:1438
dr:D02105	hsa:4157
dr:D01593	hsa:2559
dr:D06191	hsa:367
dr:D01069	hsa:1636
dr:D01885	hsa:7153
dr:D03051	hsa:134
dr:D06305	hsa:84617
dr:D08841	hsa:54106
dr:D00095	hsa:150
dr:D05819	hsa:2322
dr:D09819	hsa:150
dr:D01657	hsa:2564
dr:D00324	hsa:2908
dr:D01163	hsa:3354
dr:D07081	hsa:1131
dr:D00506	hsa:2560
dr:D04303	hsa:1146
dr:D07464	hsa:2908
dr:D09919	hsa:2263
dr:D01071	hsa:2560
dr:D04095	hsa:6331
dr:D10555	hsa:5293
dr:D03887	hsa:148
dr:D06103	hsa:5139
dr:D00842	hsa:4988
dr:D01955	hsa:1131
dr:D01278	hsa:2555
dr:D01898	hsa:1813
dr:D00786	hsa:1312
dr:D09338	hsa:8841
dr:D10194	hsa:2556
dr:D08397	hsa:3352
dr:D03155	hsa:2566
dr:D10136	hsa:2908
dr:D01071	hsa:2568
dr:D00941	hsa:2224
dr:D01467	hsa:3274
dr:D00270	hsa:1131
dr:D00706	hsa:2554
dr:D08472	hsa:6530
dr:D02933	hsa:5140
dr:D06012	hsa:3269
dr:D06503	hsa:2618
dr:D01254	hsa:2568
dr:D00281	hsa:151
dr:D01744	hsa:2563
dr:D02149	hsa:155
dr:D04645	hsa:203068
dr:D06053	hsa:9340
dr:D10431	hsa:4860
dr:D08356	hsa:2560
dr:D05775	hsa:6328
dr:D09801	hsa:4159
dr:D08352	hsa:5562
dr:D00112	hsa:478
dr:D07338	hsa:4128
dr:D01266	hsa:2908
dr:D00146	hsa:4159
dr:D01630	hsa:5151
dr:D08100	hsa:2903
dr:D00537	hsa:2557
dr:D01369	hsa:147
dr:D01634	hsa:6558
dr:D08376	hsa:1131
dr:D00289	hsa:5241
dr:D09539	hsa:6529
dr:D07089	hsa:5138
dr:D00470	hsa:2556
dr:D08108	hsa:1956
dr:D08301	hsa:2100
dr:D03828	hsa:2618
dr:D09377	hsa:51107
dr:D00225	hsa:2555
dr:D02617	hsa:2560
dr:D06272	hsa:2322
dr:D09009	hsa:1268
dr:D09755	hsa:10383
dr:D02594	hsa:2554
dr:D10604	hsa:5605
dr:D00537	hsa:2560
dr:D04500	hsa:6915
dr:D00695	hsa:55879
dr:D00999	hsa:1142
dr:D03679	hsa:2906
dr:D03918	hsa:5624
dr:D04820	hsa:3358
dr:D03807	hsa:231
dr:D09663	hsa:6007
dr:D00387	hsa:2557
dr:D07520	hsa:477
dr:D08459	hsa:6336
dr:D08869	hsa:5663
dr:D05452	hsa:1133
dr:D02165	hsa:7280
dr:D00530	hsa:2554
dr:D01919	hsa:347733
dr:D01969	hsa:776
dr:D08874	hsa:7422
dr:D08138	hsa:1140
dr:D07465	hsa:146
dr:D01758	hsa:2566
dr:D01292	hsa:2566
dr:D03497	hsa:3685
dr:D02034	hsa:148
dr:D08448	hsa:6328
dr:D01926	hsa:1131
dr:D01952	hsa:147
dr:D04882	hsa:2562
dr:D02934	hsa:7850
dr:D00999	hsa:1137
dr:D08497	hsa:3269
dr:D00281	hsa:152
dr:D08524	hsa:5979
dr:D02252	hsa:2568
dr:D03592	hsa:1394
dr:D00679	hsa:3350
dr:D10396	hsa:5156
dr:D02034	hsa:3356
dr:D00642	hsa:6323
dr:D06652	hsa:3752
dr:D02825	hsa:3352
dr:D09698	hsa:6532
dr:D00566	hsa:5742
dr:D06656	hsa:2899
dr:D07961	hsa:5137
dr:D07969	hsa:79001
dr:D01744	hsa:2561
dr:D03285	hsa:3269
dr:D00638	hsa:6328
dr:D02085	hsa:5139
dr:D00640	hsa:6331
dr:D03658	hsa:5159
dr:D10170	hsa:170572
dr:D06103	hsa:5136
dr:D08394	hsa:6329
dr:D00297	hsa:23439
dr:D07301	hsa:1128
dr:D00549	hsa:2554
dr:D08690	hsa:2556
dr:D09843	hsa:155
dr:D01712	hsa:5139
dr:D07993	hsa:11280
dr:D04695	hsa:1441
dr:D08421	hsa:6334
dr:D08422	hsa:6326
dr:D10329	hsa:1812
dr:D04070	hsa:2099
dr:D08692	hsa:1812
dr:D00638	hsa:6329
dr:D08192	hsa:147
dr:D00058	hsa:2565
dr:D00642	hsa:11280
dr:D00293	hsa:2556
dr:D02594	hsa:2561
dr:D10184	hsa:170572
dr:D01002	hsa:1132
dr:D09881	hsa:1551
dr:D10181	hsa:1133
dr:D02579	hsa:4129
dr:D10308	hsa:3717
dr:D08369	hsa:1312
dr:D01326	hsa:6331
dr:D09032	hsa:81027
dr:D04092	hsa:4129
dr:D00713	hsa:2567
dr:D09347	hsa:6850
dr:D08458	hsa:6334
dr:D00193	hsa:1131
dr:D00457	hsa:2557
dr:D01196	hsa:771
dr:D10170	hsa:9177
dr:D10635	hsa:5293
dr:D00631	hsa:776
dr:D08238	hsa:5142
dr:D08982	hsa:151
dr:D00537	hsa:2565
